,id,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,bpm,duration (ms),time_signature,duration (secs),top year
34,35,Polo G,RAPSTAR,18vXApRmJSgQ6wG2ll9AOg,82,0.789,0.536,6,-6.862,1,0.242,0.41,0.0,0.129,0.43700000000000006,81.039,165926,4,165.926,2021
35,36,Bad Bunny,LA NOCHE DE ANOCHE,2XIc1pqjXV3Cr2BQUGNBck,87,0.856,0.618,7,-4.8919999999999995,1,0.28600000000000003,0.0303,0.0,0.0866,0.391,81.993,203201,4,203.201,2021
36,37,Doja Cat,Streets,60ynsPSSKe6O3sfwRnIBRf,87,0.7490000000000001,0.46299999999999997,11,-8.433,1,0.0842,0.21,0.0382,0.33799999999999997,0.18899999999999997,90.035,226987,4,226.987,2021
37,38,The Neighbourhood,Sweater Weather,2QjOHCTQ1Jl3zawyYOpxh6,92,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.10099999999999999,0.39799999999999996,124.053,240400,4,240.4,2021
38,39,Los Legendarios,Fiel,7Bk0uXKk1uPT0XuQbpFzvs,82,0.8490000000000001,0.701,6,-4.407,0,0.06,0.40700000000000003,0.0,0.11199999999999999,0.505,98.005,261667,4,261.667,2021
39,40,Doja Cat,Need to Know,3Vi5XqYrmQgOYBajMWSvCi,93,0.664,0.609,1,-6.5089999999999995,1,0.0707,0.304,0.0,0.0926,0.19399999999999998,130.041,210560,4,210.56,2021
40,41,Dua Lipa,Don't Start Now,3PfIrDoz19wz7qK7tYeu62,84,0.7929999999999999,0.7929999999999999,11,-4.521,0,0.083,0.0123,0.0,0.0951,0.679,123.95,183290,4,183.29,2021
41,42,Internet Money,Lemonade (feat. Gunna Don Toliver & NAV),7hxHWCCAIIxFLCzvDgnQHX,81,0.8,0.6579999999999999,1,-6.142,0,0.079,0.25,0.0,0.111,0.462,140.042,195429,4,195.429,2021
42,43,Doja Cat,Woman,6Uj1ctrBOjOas8xZXGqKk4,95,0.8240000000000001,0.764,5,-4.175,0,0.0854,0.0888,0.00294,0.11699999999999999,0.8809999999999999,107.99799999999999,172627,4,172.627,2021
43,44,Duncan Laurence,Arcade,1J14CdDAvBTE1AJYUOwl6C,78,0.45299999999999996,0.35,9,-11.639000000000001,0,0.0425,0.8270000000000001,0.00122,0.14400000000000002,0.27899999999999997,72.017,185147,3,185.147,2021
44,45,SZA,Good Days,3YJJjQPAbDT7mGpX3WtQ9A,86,0.436,0.655,1,-8.37,0,0.0583,0.499,8.1e-06,0.688,0.41200000000000003,121.00200000000001,279204,4,279.204,2021
45,46,J Balvin,Qué Más Pues?,6D2TCm4nf5nxAcdGJ7w3QP,79,0.903,0.8170000000000001,8,-3.972,1,0.095,0.0272,0.00031099999999999997,0.242,0.732,102.014,217360,4,217.36,2021
46,47,Joel Corry,Head & Heart (feat. MNEK),6cx06DFPPHchuUAcTxznu9,86,0.7340000000000001,0.8740000000000001,8,-3.158,1,0.0662,0.168,1.1400000000000001e-05,0.0489,0.905,122.95299999999999,166028,4,166.028,2021
47,48,Ariana Grande,34+35,6Im9k8u9iIzKMrmV7BWtlF,85,0.83,0.585,0,-6.476,1,0.094,0.237,0.0,0.248,0.485,109.978,173711,4,173.711,2021
48,49,Tate McRae,you broke me first,45bE4HXI0AwGZXfZtMp8JR,88,0.667,0.373,4,-9.389,1,0.05,0.785,0.0,0.0906,0.0823,124.148,169266,4,169.266,2021
49,50,Sebastian Yatra,Pareja Del Año,2rCbl9naJYhaxjLsfx88uM,86,0.715,0.622,4,-5.102,0,0.046,0.163,0.0,0.0948,0.8079999999999999,80.015,195053,4,195.053,2021
