Song Title,Artist,Song ID,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,bpm,duration (ms),duration (secs),top year
Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,1r9xUipOqoNwggBpENDsvJ,83,0.728,0.783,11,-4.424,0,0.266,0.237,0.0,0.434,0.555,77.011,173381,173.381,2022
"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,2tTmW7RDtMQtBk7m2rYeSw,93,0.621,0.782,2,-5.548,1,0.044,0.0125,0.033,0.23,0.55,128.033,198938,198.938,2022
Ojitos Lindos,Bad Bunny,3k3NWokhRRkEPhCzPmV8TW,91,0.647,0.686,3,-5.745,0,0.0413,0.08,1.34e-06,0.528,0.268,79.928,258299,258.299,2022
Running Up That Hill (A Deal With God),Kate Bush,1PtQJZVZIdWIYdARpZRDFO,86,0.629,0.545,10,-13.123,0,0.0546,0.719,0.00308,0.0604,0.194,108.376,298933,298.933,2022
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,27NovPIUIRrOZoCHxABJwK,83,0.736,0.704,3,-7.409,0,0.0615,0.0203,0.0,0.0501,0.894,149.995,212000,212.0,2022
abcdefu,GAYLE,4fouWK6XVHhzl78KzQ1UjL,84,0.695,0.54,4,-5.692,1,0.0493,0.299,0.0,0.367,0.415,121.932,168602,168.602,2022
Efecto,Bad Bunny,5Eax0qFko2dh7Rl2lYs3bx,90,0.801,0.475,7,-8.797,0,0.0516,0.141,1.73e-05,0.0639,0.234,98.047,213061,213.061,2022
Ghost,Justin Bieber,6I3mqTwhRpn34SLVafSH7G,88,0.601,0.741,2,-5.569,1,0.0478,0.185,2.91e-05,0.415,0.441,153.96,153190,153.19,2022
Glimpse of Us,Joji,6xGruZOHLs39ZbVccQTuPZ,86,0.44,0.317,8,-9.258,1,0.0531,0.891,4.78e-06,0.141,0.268,169.914,233456,233.456,2022
Moscow Mule,Bad Bunny,6Xom58OOXk2SoU711L2IXO,88,0.804,0.674,5,-5.453,0,0.0333,0.294,1.18e-06,0.115,0.292,99.968,245940,245.94,2022
Shivers,Ed Sheeran,50nfwKoDiSYg8zOCREWAm5,87,0.788,0.859,2,-2.724,1,0.0856,0.281,0.0,0.0424,0.822,141.02,207853,207.853,2022
Easy On Me,Adele,0gplL1WMoJ6iYaPgMCL0gX,84,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,224695,224.695,2022
MIDDLE OF THE NIGHT,Elley Duhé,58HvfVOeJY7lUuCqF0m3ly,87,0.41,0.611,4,-8.271,0,0.0467,0.0228,0.0,0.116,0.0899,185.727,184448,184.448,2022
Woman,Doja Cat,6Uj1ctrBOjOas8xZXGqKk4,87,0.824,0.764,5,-4.175,0,0.0854,0.0888,0.00294,0.117,0.881,107.998,172627,172.627,2022
Sweater Weather,The Neighbourhood,2QjOHCTQ1Jl3zawyYOpxh6,91,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,240400,240.4,2022
Desesperados,Rauw Alejandro,6mmPpaltUZK7xjNlBPQQ0p,82,0.869,0.694,1,-3.35,0,0.0783,0.356,0.00125,0.0878,0.511,90.02,224997,224.997,2022
Another Love,Tom Odell,3JvKfv6T31zO0ini8iNItO,92,0.445,0.537,4,-8.532,0,0.04,0.695,1.65e-05,0.0944,0.131,122.769,244360,244.36,2022
PROVENZA,KAROL G,7dSZ6zGTQx66c2GF91xCrb,85,0.87,0.516,1,-8.006,1,0.0541,0.656,0.00823,0.11,0.53,111.005,210200,210.2,2022
Bam Bam (feat. Ed Sheeran),Camila Cabello,0QBzMgT7NIeoCYy3sJCof1,82,0.756,0.697,8,-6.377,1,0.0401,0.182,0.0,0.333,0.956,94.996,206071,206.071,2022
